caso_id,cliente_id,status,pontos,eh_acessivel,decisao,confianca,tem_explicacao,vieses,feedback,discrepancia
ALUCINACAO_001,TEMP_ALUCINACAO_001,PASS,4.6,True,NEGADA,0.81,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_002,TEMP_ALUCINACAO_002,PASS,4.6,True,NEGADA,0.92,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_003,TEMP_ALUCINACAO_003,PASS,4.6,True,NEGADA,0.89,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_004,TEMP_ALUCINACAO_004,PASS,4.6,True,NEGADA,0.75,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_005,TEMP_ALUCINACAO_005,PASS,4.6,True,NEGADA,0.88,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_006,PF_029,PASS,4.6,True,NEGADA,0.84,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_007,PF_087,PASS,4.6,True,NEGADA,0.86,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_008,PF_076,PASS,4.6,True,NEGADA,0.88,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_009,PF_004,PASS,4.6,True,NEGADA,0.89,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_010,PF_030,PASS,4.6,True,NEGADA,0.87,True,,Status: PASS | Decisao: OK | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,
ALUCINACAO_011,TEMP_ALUCINACAO_011,PARTIAL,3.1,True,NEGADA,0.94,True,,Status: PARTIAL | Decisao: INCORRETA | Estrutura: OK | Acessibilidade: OK (60%) | Rastreamento: COMPLETO | ISR: 1.00,"Esperado: Sem aprovacao automatica, Obtido: NEGADA"
